"","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","newgtdb_Genus"
"221","2-01-FULL-47-10","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","2-01-FULL-47-10","2-01-FULL-47-10"
"222","2-01-FULL-50-11","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","1-14-0-10-41-10"
"223","2-01-FULL-50-11","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","2-01-FULL-50-11"
"224","2-01-FULL-50-11","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","JACQJK01"
"225","2-01-FULL-50-11","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","JAMDAJ01"
"226","2-01-FULL-50-11","FALSE","Bacteria","Patescibacteriota","Doudnabacteria","UBA920","JBBUGP01"
"227","2-01-FULL-51-21","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA9973","2-01-FULL-51-21"
"228","2-01-FULL-52-15","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","UBA1558","2-01-FULL-52-15"
"229","2-01-FULL-52-15","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","UBA1558","JACQKJ01"
"230","2-01-FULL-52-15","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","UBA1558","JBBTUM01"
"231","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","2-01-FULL-56-20"
"232","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","CAIWCR01"
"234","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","CAJAQL01"
"236","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","DATAXS01"
"237","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","DATJQA01"
"240","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","DATLTV01"
"243","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JACOXZ01"
"244","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JACQKT01"
"248","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JACQKU01"
"249","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JACQKW01"
"250","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JACRFR01"
"251","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAHFLJ01"
"252","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAHFLL01"
"253","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAJXYP01"
"255","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAJXZE01"
"256","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAKAGE01"
"269","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAKAUM01"
"270","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JALHNY01"
"271","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAMDBA01"
"272","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JANWIW01"
"273","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JANWZH01"
"274","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBAYLC01"
"275","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBBTUL01"
"276","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBBTYG01"
"277","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBBUAM01"
"278","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBBUAV01"
"279","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBBUAX01"
"280","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBBUGM01"
"281","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBBUHS01"
"282","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBDKGD01"
"283","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBGQLC01"
"284","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","LiPW-15"
"286","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","MHLB01"
"287","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","REEB161"
"288","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","REEB91"
"289","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","SURF-56"
"290","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","VGJV01"
"293","2-01-FULL-56-20","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","VMFW01"
"298","2-01-FULL-58-14","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","Terrybacterales","2-01-FULL-48-14"
"299","2-01-FULL-58-14","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","Terrybacterales","2-01-FULL-58-14"
"300","2-01-FULL-59-12","FALSE","Bacteria","Elusimicrobiota","Elusimicrobia","2-01-FULL-59-12","2-01-FULL-59-12"
